method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
FairAA,100.0,0.6455297238258698,0.58144,0.25244644435023617,0.0745202059603682,0.1482639593908629,0.12566666666666665,0.00876310342268484,0.04442437835352964,0.5,0.5082388323750553,0.04363000493344524,0.03463149600754781,0.11248188002222104,0.02676027261663153,0.05233894352055668,0.08360764649751444,0.09784039582685443,0.14980453485278683,0.02728905420107392,0.0,0.016900294504917136,0.02110683233035603
FairAA_3Moment,0.0,0.6922491808394446,0.6344,0.2836211262892787,0.05678264939928223,0.15919543147208118,0.1503333333333333,0.14500791820066886,0.07446688018529772,0.49996992481203006,0.5193011941618753,0.06449955746333971,0.027952971257094787,0.03205204101665501,0.025759458437354818,0.047140884457980176,0.10830007263073477,0.1162562224539369,0.0094794957509887,0.05095958226766711,0.00015037593984962665,0.017764154997630052,0.027921317299521662
FairAA_3Moment,0.03,0.6925511000156032,0.63488,0.2842562055995892,0.04898112029957868,0.16049238578680197,0.15349999999999994,0.14496439081121648,0.05283350188152546,0.5,0.5148872180451128,0.0523901866136731,0.027711164311239173,0.03143819333231478,0.02504080187231021,0.037756074031587046,0.10813010816601952,0.11506011914872381,0.009473103454872615,0.03426109061141866,0.0,0.023121218188932452,0.022350682342193902
FairAA_3Moment,0.1,0.6927274145732564,0.63264,0.28400825390098605,0.04466843501326256,0.16008375634517763,0.15616666666666662,0.1447737338412752,0.033347917222656315,0.5,0.5083803626713843,0.03885953339713824,0.027540682361279108,0.03128215678838874,0.024709892109733504,0.03394121771177859,0.09435901636026202,0.09861688167779314,0.009470526812101983,0.01954102299057588,0.0,0.014753674920960002,0.016051964240174528
FairAA_3Moment,0.3,0.6923958495865189,0.6312,0.28382412404988566,0.03560617881104691,0.1543832487309644,0.15366666666666662,0.14440478128022072,0.018188643906563173,0.5,0.5120902255639098,0.02367393912270261,0.027300022094987324,0.030402850743529584,0.025081188443188445,0.028758407036039036,0.08559522054619985,0.08628723028995143,0.009368226254746984,0.009612285458610426,0.0,0.021358336572808785,0.00961276012051842
FairAA_3Moment,1.0,0.6914682477765642,0.62952,0.2837917142352696,0.030965829302543244,0.16301015228426394,0.16283333333333327,0.14387999669938462,0.009243277231820004,0.5,0.5189933657673595,0.010916291005957389,0.027178590694120635,0.030095846889562718,0.025419361235793258,0.024072678803430968,0.07471101924427781,0.07492202736969407,0.009231490215731896,0.004196288625773105,0.0,0.022913027343012152,0.004451697819844264
FairAA_3Moment,3.0,0.6865369012326415,0.65944,0.2888332458657703,0.029218286784209648,0.16555752961082906,0.16349999999999995,0.14347651156107624,0.00615211504827338,0.5,0.5234940291906236,0.004677813010382924,0.025175060730983936,0.03392894536134795,0.02534382082540343,0.01990675890254728,0.07942854825148991,0.08252454741424474,0.009186133078123257,0.0026972845251101276,0.0,0.022793925674188604,0.0023375151723692236
FairAA_3Moment,10.0,0.66447495709159,0.60472,0.27054763987788666,0.05840848806366042,0.1537868020304568,0.13749999999999996,0.08902608970385913,0.04679154547170303,0.5,0.5181919504643963,0.04279550646878953,0.02844791257553317,0.059545164931056056,0.02230778186262375,0.041442477952229446,0.09176545598967607,0.10003616244287014,0.05355728204590278,0.04534781956947046,0.0,0.025399838075281463,0.0333474390112776
FairAA_3Moment,30.0,0.657684506163208,0.5820799999999999,0.2642683178623348,0.06327976283351532,0.1472935702199661,0.13083333333333327,-0.09396124847826424,0.05658732422290532,0.5,0.5066306943830163,0.054914659060737676,0.028618590232434342,0.03873189899811267,0.020859775754331348,0.04279818606305962,0.06729860411558476,0.07589169000036244,0.3904982527646458,0.041527556603643816,0.0,0.01566383043767945,0.0276882868812266
FairAA_3Moment,100.0,0.657684506163208,0.5820799999999999,0.2642683178623348,0.06327976283351532,0.1472935702199661,0.13083333333333327,-0.09396124847826424,0.05658732422290532,0.5,0.5066306943830163,0.054914659060737676,0.028618590232434342,0.03873189899811267,0.020859775754331348,0.04279818606305962,0.06729860411558476,0.07589169000036244,0.3904982527646458,0.041527556603643816,0.0,0.01566383043767945,0.0276882868812266
FairAA_Adv,0.0,0.6922647838976439,0.6344,0.2836211262892787,0.05678264939928223,0.15919543147208118,0.1503333333333333,0.14500791663687843,0.0744668785343814,0.49996992481203006,0.5193011941618753,0.0644995545118265,0.027968444419683745,0.03205204101665501,0.025759458437354818,0.047140884457980176,0.10830007263073477,0.1162562224539369,0.00947949576078604,0.050959582725187164,0.00015037593984962665,0.017764154997630052,0.02792131703856677
FairAA_Adv,0.03,0.6921547823373381,0.6344,0.28356815084503073,0.056601653924169104,0.15818274111675124,0.14999999999999997,0.14500930674219234,0.0734148295214482,0.49996992481203006,0.5185705440070765,0.06392113924870073,0.02800164952864075,0.03161750569963843,0.0257523924159544,0.04686650305229648,0.10840779323136461,0.1156766025991812,0.009485548386725162,0.05014588669175837,0.00015037593984962665,0.019928510952525746,0.027685345880775605
FairAA_Adv,0.1,0.6922218754875956,0.63448,0.28384169756650796,0.055911998751755315,0.15795600676818947,0.14949999999999997,0.14501581251102713,0.07138100314219843,0.5,0.5183299425033171,0.0628535760541522,0.027945632456048725,0.03145515326089934,0.02574315863812265,0.044463102290992165,0.1087215794329578,0.11630225826602758,0.009478475697576002,0.04867355956021684,0.0,0.019443307820581884,0.027274779306494423
FairAA_Adv,0.3,0.6922679045092838,0.63408,0.2838536935690005,0.053119051334061446,0.16102115059221656,0.15349999999999997,0.14501655840831343,0.0664362690560688,0.5,0.516953560371517,0.06015795036236236,0.027870237891353455,0.03154087295346576,0.025157499750109488,0.041598652013257,0.1090330977079381,0.11624850656149428,0.009475398906652124,0.04528542576011003,0.0,0.019828048614716973,0.026276174803233007
FairAA_Adv,1.0,0.69237010454049,0.6341600000000001,0.28409305033693905,0.05224840068653453,0.16061505922165817,0.15266666666666662,0.1449855433867788,0.05430588238071712,0.5,0.5126598850066342,0.052971316140385305,0.02776024273403396,0.03127256518633121,0.02571370738242987,0.03990500259221778,0.1076395921146332,0.11513051169095977,0.009462080000593545,0.036031584075687156,0.0,0.02222088067505297,0.0233294710959026
