method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairPCA_AA,0.3,0,0.661920736464347,0.646,0.26556016597510373,0.015056951162427834,0.05833333333333335,0.05833333333333335,0.13844427306148888,0.02004719704321667,0.5,0.5118531623175586,0.02113584996751348
FairPCA_AA,1.0,0,0.6622718052738337,0.646,0.26556016597510373,0.015056951162427834,0.05833333333333335,0.05833333333333335,0.14056732278288853,0.019863022374050354,0.5,0.5236178681999115,0.021486583186135205
FairPCA_AA,3.0,0,0.6645732563582463,0.65,0.26778242677824265,0.019581838040255872,0.05833333333333335,0.05833333333333335,0.14592127889321016,0.018430962876670676,0.5,0.52375055285272,0.022073903431824225
FairPCA_AA,10.0,0,0.6657044780777032,0.65,0.26778242677824265,0.019581838040255872,0.05833333333333335,0.05833333333333335,0.14784526191339264,0.016046756106779192,0.5,0.5385227775320655,0.021618426623363936
FairPCA_AA,30.0,0,0.6655094398502106,0.646,0.26556016597510373,0.034560773911686715,0.05833333333333335,0.05833333333333335,0.14841367530555705,0.015043238092371625,0.5,0.5317558602388323,0.020761106167298704
FairPCA_AA,100.0,0,0.6655874551412077,0.646,0.26556016597510373,0.034560773911686715,0.05833333333333335,0.05833333333333335,0.14865415420953398,0.014693464378842558,0.5,0.5288810260946485,0.020305529700893832
Raw,,1,0.8828600405679514,0.838,0.5207100591715976,0.23646434701201433,0.2272631133671743,0.050000000000000044,,,,,
AA,,1,0.6900452488687783,0.62,0.2857142857142857,0.09502262443438914,0.10607021996615906,0.06666666666666665,0.13814231444232483,0.07388234374060154,0.5,0.5255196815568332,0.0639771135061568
FairAA,0.0,1,0.6902207832735217,0.62,0.2857142857142857,0.09502262443438914,0.10607021996615906,0.06666666666666665,0.13814387846671417,0.0738794200625289,0.5,0.5255196815568332,0.06397626433198919
FairAA,0.03,1,0.690474332969262,0.618,0.2846441947565543,0.09276018099547512,0.10353214890016921,0.06666666666666665,0.13814166106143755,0.07365730648041524,0.5,0.5158779301194162,0.06377769673676251
FairAA,0.1,1,0.6903573100327665,0.618,0.2846441947565543,0.09276018099547512,0.10353214890016921,0.06666666666666665,0.138117984753944,0.07159584104733696,0.5,0.5166298098186644,0.06244542396090487
FairAA,0.3,1,0.6904743329692619,0.62,0.2857142857142857,0.07551880168513031,0.08269881556683584,0.06666666666666665,0.1380817214590404,0.057423670112420444,0.5,0.5172490048651038,0.05267148959484059
FairAA,1.0,1,0.6879388360118583,0.622,0.2813688212927757,0.10180995475113125,0.11114636209813877,0.04583333333333339,0.13663083295416234,0.021955170326127926,0.5,0.47819548872180456,0.022850081293036402
FairAA,3.0,1,0.6847012014354814,0.636,0.28346456692913385,0.06366047745358089,0.14583333333333337,0.14583333333333337,0.13560105565804403,0.015913978828526854,0.5,0.5084918177797435,0.004583398457604207
FairAA,10.0,1,0.6199485099079419,0.456,0.22285714285714286,0.15353409268216567,0.3291666666666666,0.3291666666666666,0.0637663976933861,0.03167136264408976,0.5,0.5027421494913755,0.03095575708806919
FairAA,30.0,1,0.6199485099079419,0.456,0.22285714285714286,0.15353409268216567,0.3291666666666666,0.3291666666666666,0.0637663976933861,0.03167136264408976,0.5,0.5027421494913755,0.03095575708806919
FairAA,100.0,1,0.6199485099079419,0.456,0.22285714285714286,0.15353409268216567,0.3291666666666666,0.3291666666666666,0.0637663976933861,0.03167136264408976,0.5,0.5027421494913755,0.03095575708806919
FairAA_3Moment,0.0,1,0.6901232641597753,0.62,0.2857142857142857,0.09502262443438914,0.10607021996615906,0.06666666666666665,0.13814388011329315,0.07387942265909975,0.5,0.5255196815568332,0.06397626642777404
FairAA_3Moment,0.03,1,0.6905133406147606,0.618,0.2846441947565543,0.07325635824621629,0.08016074450084598,0.06666666666666665,0.13807221845015305,0.05431508118696815,0.5,0.5306501547987617,0.050952035506886324
FairAA_3Moment,0.1,1,0.6905718520830083,0.616,0.2835820895522388,0.0904977375565611,0.10099407783417935,0.06666666666666665,0.13780447012660957,0.03286551232870327,0.5,0.4989827509951349,0.035886261834475054
FairAA_3Moment,0.3,1,0.6899672335777812,0.618,0.2846441947565543,0.07325635824621629,0.08016074450084598,0.06666666666666665,0.13725245297290134,0.01628304206702713,0.5,0.5041132242370633,0.024088404496702527
FairAA_3Moment,1.0,1,0.6867295990014043,0.616,0.2781954887218045,0.0365111561866126,0.16666666666666663,0.16666666666666663,0.13640593236787357,0.005675352226745201,0.5,0.5048651039363112,0.009661521908632446
FairAA_3Moment,3.0,1,0.6860469652051802,0.658,0.29045643153526973,0.023950694336089873,0.24583333333333335,0.24583333333333335,0.1358805243353256,0.003096539385595398,0.5,0.5030959752321981,0.003848082148765433
FairAA_3Moment,10.0,1,0.6424559213605867,0.582,0.26666666666666666,0.0130285535965049,0.1875,0.1875,0.07965297410948602,0.06973891288506318,0.5,0.5049977885891198,0.06431498682719235
FairAA_3Moment,30.0,1,0.6424559213605867,0.582,0.26666666666666666,0.0130285535965049,0.1875,0.1875,0.07965297410948602,0.06973891288506318,0.5,0.5049977885891198,0.06431498682719235
