method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairAA,0.1,2,0.8588411742649815,0.786,0.6137184115523465,0.09429334102878584,0.07480748074807486,0.07480748074807486,0.09625780557476671,0.07855225293825219,0.509,0.647,0.055648536612622854
FairAA,0.3,2,0.8525000551401662,0.78,0.6099290780141844,0.037118534016304716,0.19581958195819582,0.19581958195819582,0.09534302600684497,0.03296994926922636,0.5,0.6560000000000001,0.03415423222353728
FairAA,1.0,2,0.8389907143959946,0.774,0.5949820788530465,0.010100281364980868,0.22552255225522544,0.22552255225522544,0.09401243986536689,0.009189428132964972,0.5,0.6360000000000001,0.009303431662426045
FairAA,3.0,2,0.8435783762323827,0.772,0.583941605839416,0.00486977851525866,0.25522552255225517,0.25522552255225517,0.09373278287510134,0.007558505964213369,0.5,0.7250000000000001,0.002877058018535615
FairAA,10.0,2,0.8055978296830543,0.79,0.5205479452054794,0.010821730033908072,0.06956849553416077,0.024752475247524774,-0.3495206145166889,0.029034463185523718,0.501,0.579,0.0371909618699172
FairAA,30.0,2,0.8055978296830543,0.79,0.5205479452054794,0.010821730033908072,0.06956849553416077,0.024752475247524774,-0.3495206145166889,0.029034463185523718,0.501,0.579,0.0371909618699172
FairAA,100.0,2,0.8055978296830543,0.79,0.5205479452054794,0.010821730033908072,0.06956849553416077,0.024752475247524774,-0.3495206145166889,0.029034463185523718,0.501,0.579,0.0371909618699172
FairAA_3Moment,0.0,2,0.8625245373740048,0.794,0.6254545454545455,0.11535964216146019,0.06490649064906495,0.06490649064906495,0.09366319820857294,0.09608584403666398,0.523,0.6200000000000001,0.06124220254687497
FairAA_3Moment,0.03,2,0.8501069719226273,0.776,0.6028368794326241,0.028100425654714656,0.20572057205720562,0.20572057205720562,0.09524843250482595,0.02472708696751913,0.5,0.6690000000000002,0.028402394621483768
FairAA_3Moment,0.1,2,0.8444826749597477,0.778,0.604982206405694,0.025106413678666784,0.20572057205720562,0.20572057205720562,0.09493475868867673,0.01031412834182488,0.5,0.6649999999999999,0.01584551896014503
FairAA_3Moment,0.3,2,0.39235536734378795,0.504,0.1267605633802817,0.9939759036144579,1.0,1.0,-0.10194196670470568,2.678199269649554,0.998,0.998,0.4
FairAA_3Moment,1.0,2,0.8389355742296919,0.762,0.5853658536585366,0.02005627299617635,0.21562156215621553,0.21562156215621553,0.09442524476080727,0.0027658885401522504,0.5,0.6060000000000001,0.004418320994921801
FairAA_3Moment,3.0,2,0.846158936015351,0.786,0.5962264150943396,0.013779669576509668,0.2651265126512651,0.2651265126512651,0.09430799653570954,0.0025022675987114162,0.5,0.68,0.0028703060135560473
FairAA_3Moment,10.0,2,0.8396082842585854,0.738,0.5867507886435331,0.087800303008441,0.12651265126512645,0.12651265126512645,-0.884099216638842,0.04699530738960245,0.502,0.576,0.042436436154284364
FairAA_3Moment,30.0,2,0.8396082842585854,0.738,0.5867507886435331,0.087800303008441,0.12651265126512645,0.12651265126512645,-0.884099216638842,0.04699530738960245,0.502,0.576,0.042436436154284364
FairAA_3Moment,100.0,2,0.8396082842585854,0.738,0.5867507886435331,0.087800303008441,0.12651265126512645,0.12651265126512645,-0.884099216638842,0.04699530738960245,0.502,0.576,0.042436436154284364
FairAA_Adv,0.0,2,0.8625245373740048,0.794,0.6254545454545455,0.11535964216146019,0.06490649064906495,0.06490649064906495,0.09366319680070856,0.0960858810235633,0.523,0.6200000000000001,0.06124220674722767
FairAA_Adv,0.03,2,0.8598116411919099,0.788,0.6159420289855072,0.100317437414328,0.07480748074807486,0.07480748074807486,0.09624351125919606,0.08743353338711302,0.5200000000000001,0.624,0.05901710046321186
FairAA_Adv,0.1,2,0.8592161273958402,0.788,0.6159420289855072,0.100317437414328,0.07480748074807486,0.07480748074807486,0.09624217301617399,0.08343743385209645,0.513,0.616,0.05753880953515443
FairAA_Adv,0.3,2,0.8581022960365249,0.782,0.6036363636363636,0.08830531707669004,0.09460946094609457,0.09460946094609457,0.09623318698313554,0.07349712107668915,0.51,0.603,0.0537193092480223
FairAA_Adv,1.0,2,0.8550365027900925,0.782,0.6093189964157706,0.055190823172931225,0.20572057205720562,0.20572057205720562,0.09615060754333471,0.050825728657014846,0.5,0.592,0.04378093309573885
FairAA_Adv,3.0,2,0.8498643551908953,0.77,0.5964912280701754,0.019046244859678263,0.20572057205720562,0.20572057205720562,0.09588503238987667,0.024985945676693655,0.5,0.6559999999999999,0.02839223168771667
FairAA_Adv,10.0,2,0.8447473477580009,0.754,0.5858585858585859,0.026188586682057535,0.1859185918591859,0.1859185918591859,0.09537375966485628,0.010072858400056894,0.5,0.804,0.012686717083747518
FairAA_Adv,30.0,2,0.23840402302653346,0.208,0.20481927710843373,0.016485102084986658,0.11221122112211224,0.11221122112211224,0.094893771475007,0.006936049226283658,0.497,0.9470000000000001,0.004717847987227798
FairAA_Adv,100.0,2,0.2876111074351,0.334,0.18581907090464547,0.03354736310511508,0.04297645284769758,0.01650165016501648,0.0947035891869148,0.006261455442267194,0.497,0.9570000000000001,0.0014071948802740811
FairPCA_AA,0.0,2,0.8257791305498577,0.738,0.5435540069686411,0.05612870644253659,0.275027502750275,0.275027502750275,0.07321487936765159,0.024009451337142718,0.5,0.707,0.005919872621629833
FairPCA_AA,0.03,2,0.8257570744833367,0.738,0.5435540069686411,0.05612870644253659,0.275027502750275,0.275027502750275,0.06579029876394826,0.02400280839835922,0.5,0.7100000000000001,0.005920387302876114
FairPCA_AA,0.1,2,0.8257239903835549,0.738,0.5435540069686411,0.05612870644253659,0.275027502750275,0.275027502750275,0.06580743175300252,0.024004572375549538,0.5,0.7139999999999999,0.005923928814766698
FairPCA_AA,0.3,2,0.8257791305498579,0.738,0.5435540069686411,0.05612870644253659,0.275027502750275,0.275027502750275,0.0652672010772537,0.024011944281419284,0.5,0.7089999999999999,0.00591805622287427
FairPCA_AA,1.0,2,0.8265290368115751,0.738,0.5435540069686411,0.05612870644253659,0.275027502750275,0.275027502750275,0.06469628172637365,0.02327263751088493,0.5,0.7090000000000001,0.005737103722972326
FairPCA_AA,3.0,2,0.8442400582280156,0.74,0.5859872611464968,0.03372772527234685,0.13641364136413636,0.13641364136413636,0.07032620216006258,0.00906091927278152,0.5,0.6719999999999999,0.014695664928965558
FairPCA_AA,10.0,2,0.8332671651337701,0.754,0.5684210526315789,0.008008080225091974,0.24532453245324526,0.24532453245324526,0.08446330721697537,0.02700581622117526,0.5,0.615,0.026009706461300304
FairPCA_AA,30.0,2,0.8384282846997066,0.764,0.5815602836879432,0.010064208931534535,0.23542354235423535,0.23542354235423535,0.08823720402762769,0.029365046731784306,0.5,0.607,0.028678561302216642
