method,lambda,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha,auc_sd,acc_sd,f1_sd,dp_gap_sd,eo_gap_sd,eopp_gap_sd,ev_sd,mmd_alpha_sd,linsep_alpha_sd,nonlinsep_alpha_sd,dp_alpha_sd
FairAA_Adv,10.0,0.5331678485321744,0.5339200000000001,0.20058264060992642,0.02072538488226674,0.09955066864003152,0.09643076923076921,0.23110038773246525,0.005882956241798783,0.4874219001610306,0.5562298174986581,0.004366210641755496,0.04095210116377295,0.07420799597527658,0.024790123557354805,0.010433904753049542,0.08392148781272037,0.08691179111364873,0.014883377320057463,0.0020858710004554594,0.009228266186082495,0.046908374820910155,0.0018248481143557814
FairAA_Adv,30.0,0.5225608134728921,0.58008,0.18954741706627318,0.13566258534307019,0.20203538476821067,0.19269743589743588,0.1810203018098819,0.30662736085628095,0.6114303197607545,0.6903573077218005,0.0501984608134999,0.03702432391210206,0.08869325415911482,0.02285373341907183,0.23312794938853354,0.23911686130144305,0.23556155389134967,0.08868958689485362,0.5343697280477603,0.19126346312523226,0.15477751204520798,0.07763911170591156
FairAA_Adv,100.0,0.5175162720541934,0.49800000000000005,0.18664311983421594,0.8731959983261673,0.8875943376229941,0.8730461538461539,-0.16266897933676486,2.8589057412647723,0.9987959435626103,0.9984926309332107,0.28408501524232277,0.02632616918522294,0.03400980250849255,0.012586262357488017,0.2653896752672271,0.24284218244167102,0.25611372083766804,0.17851102971390875,0.21521789355155463,0.0025359695290660305,0.0026308904535679504,0.042174158864639086
FairPCA_AA,0.0,0.5368194598144036,0.55336,0.19271304684201318,0.047350533635443476,0.13213483123573375,0.12215384615384611,0.227397626646356,0.01301844265399451,0.5152190284487386,0.5198983245149912,0.016763967933230987,0.031029898426589105,0.04275012670546525,0.021556895870408616,0.036648905808996796,0.06569685738945295,0.07430044852708417,0.01394031518149285,0.006193054556553503,0.017696067411786965,0.018706428816192652,0.005552714605235982
FairPCA_AA,0.03,0.5368203153284614,0.55336,0.19271304684201318,0.047350533635443476,0.13213483123573375,0.12215384615384611,0.21351351604321317,0.013019396431194293,0.5152190284487386,0.5199186297063109,0.01676487833059108,0.031032079860826088,0.04275012670546525,0.021556895870408616,0.036648905808996796,0.06569685738945295,0.07430044852708417,0.015907447862379583,0.006193565591349227,0.017696067411786965,0.018976103468514725,0.005553313927972784
FairPCA_AA,0.1,0.5368186426540359,0.55336,0.19271304684201318,0.047350533635443476,0.13213483123573375,0.12215384615384611,0.21235568678356212,0.01301898226056186,0.5152190284487386,0.5189585652940726,0.016764605549212167,0.03102777990218827,0.04275012670546525,0.021556895870408616,0.036648905808996796,0.06569685738945295,0.07430044852708417,0.015739729881934755,0.0061929652533801475,0.017696067411786965,0.01989989428470367,0.005552948001325558
FairPCA_AA,0.3,0.536818681007726,0.55336,0.19271304684201318,0.047350533635443476,0.13213483123573375,0.12215384615384611,0.2114832128028053,0.013018613319565475,0.5152190284487386,0.5205038532321141,0.016764703609177062,0.031029576532678467,0.04275012670546525,0.021556895870408616,0.036648905808996796,0.06569685738945295,0.07430044852708417,0.015668735788983288,0.006192528049301894,0.017696067411786965,0.01934957130993692,0.005552650079930862
FairPCA_AA,1.0,0.5370654016193341,0.55296,0.1933176039275953,0.04512579785907731,0.12803715256886541,0.11788717948717943,0.2118894298909552,0.012954217835048087,0.5149731960739207,0.5170579288398129,0.01674711435409007,0.031365590114137296,0.043977721632663044,0.020881871738782642,0.034780160061809014,0.07217689236420154,0.08038332991515691,0.01462779436797318,0.00621737484406872,0.017633808839293566,0.0239422203468182,0.00560107807798381
FairPCA_AA,3.0,0.5377115572452652,0.5544,0.1951261361436712,0.044573370932037115,0.13254763407551937,0.12151794871794869,0.21542371374280428,0.012965882651209897,0.513072816501802,0.5196661567364466,0.01684946427165854,0.031498204617908324,0.03571647612330569,0.020166804272333635,0.03238597629501746,0.07109051286032506,0.08052703886648253,0.015408635318001466,0.006300338804181739,0.018561904796290184,0.022974143302849116,0.00560285177844286
FairPCA_AA,10.0,0.5378164182057441,0.54952,0.19508107155113896,0.03729475929551689,0.11585169431239266,0.1064410256410256,0.21765384303355076,0.01314401601716361,0.513739732382486,0.5112996549344375,0.016847691376117375,0.030581730700905807,0.031428649350552736,0.020856996940312848,0.03280717386545052,0.05839069705015034,0.06629483419199042,0.015826779227050877,0.0076749453838271635,0.02035889059865256,0.02050639926929334,0.006270902146310158
FairPCA_AA,30.0,0.5350193039018882,0.55432,0.1959733993139336,0.04083154358245376,0.13091198504243812,0.12549743589743584,0.21988613440900803,0.013271530908323243,0.5153025726554712,0.5104981788206426,0.01697712046943682,0.026031377127376132,0.031223281911633375,0.01926253418642738,0.03143598386380933,0.059121579126505244,0.06466107460723385,0.013767353716811299,0.007656185583369065,0.020063782178890783,0.022715828778506742,0.006380889312604381
FairPCA_AA,100.0,0.5329655174034387,0.5522400000000001,0.19517229298036706,0.04032238077438936,0.13726093613762055,0.13150769230769227,0.2190732259613674,0.013202430374350265,0.5145955831608006,0.5102360133425351,0.01706663993277024,0.02530617703842389,0.02939002098218599,0.017332537906375567,0.03264418373525599,0.06119915364508576,0.06747034965376959,0.01450349166983606,0.007671074127080609,0.02084140625463483,0.023551281877907098,0.006267313071526465
