method,lambda,seed,auc,acc,f1,dp_gap,eo_gap,eopp_gap,ev,mmd_alpha,linsep_alpha,nonlinsep_alpha,dp_alpha
FairAA_3Moment,10.0,0,0.5628396322778345,0.536,0.2,0.020679444471266017,0.20666666666666667,0.20666666666666667,-0.07211283201042051,0.010407093324268257,0.5020933977455716,0.5179817498658078,0.016974741539038284
FairAA_3Moment,30.0,0,0.5628396322778345,0.536,0.2,0.020679444471266017,0.20666666666666667,0.20666666666666667,-0.07211283201042051,0.010407093324268257,0.5020933977455716,0.5179817498658078,0.016974741539038284
FairAA_3Moment,100.0,0,0.5628396322778345,0.536,0.2,0.020679444471266017,0.20666666666666667,0.20666666666666667,-0.07211283201042051,0.010407093324268257,0.5020933977455716,0.5179817498658078,0.016974741539038284
FairAA_Adv,0.0,0,0.5993054136874362,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.25763984393981276,0.008498464963052177,0.5111111111111111,0.49629629629629635,0.015507929424898023
FairAA_Adv,0.03,0,0.5993054136874362,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.2576486278971565,0.008401979258270964,0.5111111111111111,0.5121846484165326,0.015364274218545923
FairAA_Adv,0.1,0,0.5990194075587334,0.572,0.21897810218978103,0.06580408439144497,0.09999999999999998,0.09999999999999998,0.25765361566515066,0.008182327231957831,0.5108964036500268,0.5122383252818036,0.015031301448405124
FairAA_Adv,0.3,0,0.5974259448416752,0.57,0.21818181818181817,0.05342860361447721,0.09999999999999998,0.09999999999999998,0.25765326468176664,0.007644639134101738,0.5077831454643049,0.5155126140633388,0.014220869891971952
FairAA_Adv,1.0,0,0.5972625127681307,0.568,0.21739130434782608,0.04909959928547286,0.09999999999999998,0.09999999999999998,0.2576328985831787,0.0065075155147222286,0.5032206119162642,0.5221685453569511,0.012297747016025507
FairAA_Adv,3.0,0,0.6074770173646578,0.592,0.23308270676691728,0.036064307439772125,0.14,0.14,0.2575505531626042,0.005210002093742894,0.4967793880837359,0.5637681159420289,0.009290700817409557
FairAA_Adv,10.0,0,0.6197344228804903,0.588,0.23134328358208955,0.027406298781763483,0.06666666666666665,0.06666666666666665,0.2573403507332427,0.004317007225141778,0.4870638754696726,0.6011808910359635,0.005809386800873298
FairAA_Adv,30.0,0,0.5930949948927478,0.802,0.2204724409448819,0.005922206665701091,0.19333333333333333,0.19333333333333333,0.2569793017096409,0.004065614508418913,0.47858293075684377,0.6675791733762748,0.002848438185057827
FairAA_Adv,100.0,0,0.5267620020429009,0.502,0.22429906542056074,0.4756111298862228,0.48381199983751066,0.41333333333333333,-0.17484114851301902,2.495451005150203,0.9938271604938272,0.9938271604938272,0.1864776060979071
FairPCA_AA,0.0,0,0.583043922369765,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.2568162104895092,0.007670187582147436,0.5064949006977992,0.5217391304347826,0.012895532632968679
FairPCA_AA,0.03,0,0.583043922369765,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.24883123619947922,0.007670232060499105,0.5064949006977992,0.5219538378958669,0.012895452046224278
FairPCA_AA,0.1,0,0.583043922369765,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.2502983935557944,0.007670210743534411,0.5064949006977992,0.5219538378958669,0.01289529718164408
FairPCA_AA,0.3,0,0.583043922369765,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.24546557474241515,0.007670166041936488,0.5064949006977992,0.5217391304347826,0.012895503361031277
FairPCA_AA,1.0,0,0.5834933605720123,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.24768974569453517,0.007668627124489902,0.5064949006977992,0.53064949006978,0.012901178849302747
FairPCA_AA,3.0,0,0.5842696629213483,0.554,0.21201413427561838,0.02948228970533806,0.17333333333333334,0.17333333333333334,0.24828924769046434,0.007669301639515291,0.5050456253354805,0.5260869565217391,0.013077716345991384
FairPCA_AA,10.0,0,0.5854954034729315,0.556,0.2127659574468085,0.0171068089283703,0.17333333333333334,0.17333333333333334,0.24925817025981734,0.007629076040522986,0.5052603327965646,0.5177670424047236,0.013294971402642977
FairPCA_AA,30.0,0,0.5861899897854954,0.56,0.20863309352517986,0.023930220956243253,0.20666666666666667,0.20666666666666667,0.24968110332230364,0.007623518157999831,0.5056897477187332,0.5537305421363392,0.013379278227570977
FairPCA_AA,100.0,0,0.5868437180796732,0.56,0.20863309352517986,0.03197669740420672,0.20666666666666667,0.20666666666666667,0.24327509032766348,0.007602802074443249,0.5069243156199678,0.5342995169082124,0.013415146949417924
Raw,,1,0.48395270270270274,0.57,0.16988416988416988,0.02566906845084921,0.2717948717948718,0.2717948717948718,,,,,
